"Sample","ReadID","sampled_methylation","allele"
"NGS_H19_Normal_Rep3","Read_1",0.982137428504616,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_2",0.975510604837649,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_3",0.0160195263056826,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_4",0.987178202200049,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_5",0.0145609429692096,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_6",0.982088675868629,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_7",0.966644845418301,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_8",0.989989382725939,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_9",0.0122873622227087,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_10",0.0210184976855229,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_11",0.9849505316205,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_12",0.975278239820811,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_13",0.0266922405374564,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_14",0.970846322124121,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_15",0.979650613738898,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_16",0.0169135085810781,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_17",0.983582286607324,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_18",0.983406702092632,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_19",0.981602752243055,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_20",0.0162431257941265,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_21",0.0215503177259562,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_22",0.0199681867253931,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_23",0.0167880590766512,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_24",0.984611971306311,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_25",0.981497414053711,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_26",0.97045056480635,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_27",0.0215209794876368,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_28",0.983299643390763,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_29",0.0190023981148977,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_30",0.980275812001209,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_31",0.0202627177242106,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_32",0.980449334967451,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_33",0.0285337307872917,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_34",0.0181430845427386,"Subpopulation_1"
"NGS_H19_Normal_Rep3","Read_35",0.976248396330498,"Subpopulation_2"
"NGS_H19_Normal_Rep3","Read_36",0.983045897890025,"Subpopulation_2"
