"Sample","clone","sampled_methylation"
"Sanger_H19_Hetero_Phased_Rep2","Clone_1",0.980152983369959
"Sanger_H19_Hetero_Phased_Rep2","Clone_2",0.0178305666102538
"Sanger_H19_Hetero_Phased_Rep2","Clone_3",0.0289551441172411
"Sanger_H19_Hetero_Phased_Rep2","Clone_4",0.98209944840113
"Sanger_H19_Hetero_Phased_Rep2","Clone_5",0.986183252431432
"Sanger_H19_Hetero_Phased_Rep2","Clone_6",0.0193865458945068
"Sanger_H19_Hetero_Phased_Rep2","Clone_7",0.971009842282391
"Sanger_H19_Hetero_Phased_Rep2","Clone_8",0.0239496057757693
"Sanger_H19_Hetero_Phased_Rep2","Clone_9",0.0152568207917101
"Sanger_H19_Hetero_Phased_Rep2","Clone_10",0.0195184061396123
"Sanger_H19_Hetero_Phased_Rep2","Clone_11",0.976912804695233
"Sanger_H19_Hetero_Phased_Rep2","Clone_12",0.972267687327141
"Sanger_H19_Hetero_Phased_Rep2","Clone_13",0.983842199766513
"Sanger_H19_Hetero_Phased_Rep2","Clone_14",0.0257202393939773
"Sanger_H19_Hetero_Phased_Rep2","Clone_15",0.979192675688206
"Sanger_H19_Hetero_Phased_Rep2","Clone_16",0.0206886729262865
