"Sample","clone","sampled_methylation"
"Sanger_H19_LOI_Rep2","Clone_1",0.980787031780945
"Sanger_H19_LOI_Rep2","Clone_2",0.980246232678587
"Sanger_H19_LOI_Rep2","Clone_3",0.985082358202535
"Sanger_H19_LOI_Rep2","Clone_4",0.96998065405215
"Sanger_H19_LOI_Rep2","Clone_5",0.978830236295804
"Sanger_H19_LOI_Rep2","Clone_6",0.98630145081472
"Sanger_H19_LOI_Rep2","Clone_7",0.978517431835486
"Sanger_H19_LOI_Rep2","Clone_8",0.980625354260141
"Sanger_H19_LOI_Rep2","Clone_9",0.976306803155664
"Sanger_H19_LOI_Rep2","Clone_10",0.978241511181189
"Sanger_H19_LOI_Rep2","Clone_11",0.981577902011048
"Sanger_H19_LOI_Rep2","Clone_12",0.985704308180846
"Sanger_H19_LOI_Rep2","Clone_13",0.975220363182147
"Sanger_H19_LOI_Rep2","Clone_14",0.973457790412056
"Sanger_H19_LOI_Rep2","Clone_15",0.986830543433101
"Sanger_H19_LOI_Rep2","Clone_16",0.978318244461039
