"Sample","clone","sampled_methylation"
"Sanger_H19_Normal_Rep2","Clone_1",0.0264474117254485
"Sanger_H19_Normal_Rep2","Clone_2",0.971725361429517
"Sanger_H19_Normal_Rep2","Clone_3",0.982957998630818
"Sanger_H19_Normal_Rep2","Clone_4",0.0268072083364601
"Sanger_H19_Normal_Rep2","Clone_5",0.98179542034814
"Sanger_H19_Normal_Rep2","Clone_6",0.9855308785195
"Sanger_H19_Normal_Rep2","Clone_7",0.0200635100021809
"Sanger_H19_Normal_Rep2","Clone_8",0.9768053626197
"Sanger_H19_Normal_Rep2","Clone_9",0.0160416473342111
"Sanger_H19_Normal_Rep2","Clone_10",0.976975738607246
"Sanger_H19_Normal_Rep2","Clone_11",0.0185736547187395
"Sanger_H19_Normal_Rep2","Clone_12",0.971031886476779
"Sanger_H19_Normal_Rep2","Clone_13",0.0252896928012038
"Sanger_H19_Normal_Rep2","Clone_14",0.0165218298205859
"Sanger_H19_Normal_Rep2","Clone_15",0.0209441763601208
"Sanger_H19_Normal_Rep2","Clone_16",0.980519391124534
