"Sample","clone","sampled_methylation"
"Sanger_Nanog_KO_Rep2","Clone_1",0.720465294397957
"Sanger_Nanog_KO_Rep2","Clone_2",0.71878745582609
"Sanger_Nanog_KO_Rep2","Clone_3",0.715325505295298
"Sanger_Nanog_KO_Rep2","Clone_4",0.723334075039271
"Sanger_Nanog_KO_Rep2","Clone_5",0.71371448639651
"Sanger_Nanog_KO_Rep2","Clone_6",0.71292814430817
"Sanger_Nanog_KO_Rep2","Clone_7",0.728784518123238
"Sanger_Nanog_KO_Rep2","Clone_8",0.721470277905167
"Sanger_Nanog_KO_Rep2","Clone_9",0.72201773962121
"Sanger_Nanog_KO_Rep2","Clone_10",0.715986724920757
"Sanger_Nanog_KO_Rep2","Clone_11",0.717599130744262
"Sanger_Nanog_KO_Rep2","Clone_12",0.719961536241518
"Sanger_Nanog_KO_Rep2","Clone_13",0.711248786197438
"Sanger_Nanog_KO_Rep2","Clone_14",0.721669410461987
"Sanger_Nanog_KO_Rep2","Clone_15",0.717171736153635
"Sanger_Nanog_KO_Rep2","Clone_16",0.715967163489436
