"Sample","clone","sampled_methylation"
"Sanger_Nanog_WT_Rep1","Clone_1",0.451845363674191
"Sanger_Nanog_WT_Rep1","Clone_2",0.462119271099804
"Sanger_Nanog_WT_Rep1","Clone_3",0.454101513977881
"Sanger_Nanog_WT_Rep1","Clone_4",0.459076864621011
"Sanger_Nanog_WT_Rep1","Clone_5",0.460058515269537
"Sanger_Nanog_WT_Rep1","Clone_6",0.454833167694267
"Sanger_Nanog_WT_Rep1","Clone_7",0.454891465700483
"Sanger_Nanog_WT_Rep1","Clone_8",0.461070997576332
"Sanger_Nanog_WT_Rep1","Clone_9",0.456818884057869
"Sanger_Nanog_WT_Rep1","Clone_10",0.448069519938038
"Sanger_Nanog_WT_Rep1","Clone_11",0.4587745396745
"Sanger_Nanog_WT_Rep1","Clone_12",0.453096504042176
"Sanger_Nanog_WT_Rep1","Clone_13",0.454359569401441
"Sanger_Nanog_WT_Rep1","Clone_14",0.462283117674431
"Sanger_Nanog_WT_Rep1","Clone_15",0.459590629571803
"Sanger_Nanog_WT_Rep1","Clone_16",0.460515644598086
