"Sample","clone","sampled_methylation"
"Sanger_Single_H19_ASM","Clone_1",0.0192372321584498
"Sanger_Single_H19_ASM","Clone_2",0.974902065072066
"Sanger_Single_H19_ASM","Clone_3",0.979971704764986
"Sanger_Single_H19_ASM","Clone_4",0.977721669088918
"Sanger_Single_H19_ASM","Clone_5",0.0199449103029977
"Sanger_Single_H19_ASM","Clone_6",0.012383597185327
"Sanger_Single_H19_ASM","Clone_7",0.985474015091294
"Sanger_Single_H19_ASM","Clone_8",0.987006999442009
"Sanger_Single_H19_ASM","Clone_9",0.978627660589631
"Sanger_Single_H19_ASM","Clone_10",0.014221553835718
"Sanger_Single_H19_ASM","Clone_11",0.0168527588800321
"Sanger_Single_H19_ASM","Clone_12",0.0225748631120159
"Sanger_Single_H19_ASM","Clone_13",0.0182625019824807
"Sanger_Single_H19_ASM","Clone_14",0.984462454598094
"Sanger_Single_H19_ASM","Clone_15",0.0254245698478264
"Sanger_Single_H19_ASM","Clone_16",0.980799484797956
